id,graduatingYear,isAlumni,tagline,rawBody,createdAt,program,overallScore,comments,overall,curriculum,jobSupport,school
298679,2023.0,True,"Supply Chain Manager, in process to make a career switch to Data universe","<p>I highly recommend IRONHACK, in my case when I took the Data Analyst course the classes were highly dynamic. There are plenty options to fit in your agenda (onsite or remote, full-time or part-time). All the sessions are recorded in case of absence, or for future revisions and there are always a lead teacher and 2 assistants present. The human aspect is also considered during the course, making group activities and projects to increase empathy and synergy. But mainly I recommend it because of the content quality and teaching mindset (&quot;hands-on&quot; basis) that allows student to &quot;pass-to-action&quot; and face real problems.</p>",3/6/2023,Data Analytics Part-Time,5.0,[],5.0,5.0,5.0,ironhack
298019,2023.0,True,An experience to try!,"<p>Studying at Ironhack is a hell of an experience! The program is structured really well and the overall course is challenging, but in a very positive way. I absolutely recommend the Full Time In-Person bootcamp, the relationship that you can build with your peers and teachers is great and make you learn at light speed. The environment is always friendly and helpful and the overall learning experience is something that I end up loving. I really recommend this bootcamp.</p>",2/15/2023,Data Analytics Bootcamp,4.3,[],5.0,5.0,3.0,ironhack
297671,2023.0,True,Intense experience,"<p>It&#39;s a great program, really enjoyed it, but will have to wait till after career week to give a full review. The goal is to gain employment. The teachers were incredible and you get to make 3 projects for your portfolio during the bootcamp. I would recommend</p>",2/7/2023,Web Development Bootcamp,3.7,[],4.0,4.0,3.0,ironhack
297668,2023.0,True,It was the best experience ever,<p>Making a new career path and keeping the internet world safer. The 12 weeks intensive boot camp program was great and fun and it has expose and create a cybersecurity awareness in me and this is one great achievement for me. I&rsquo;m glad and proud I made it through.</p>,2/7/2023,Cyber Security Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
297606,2023.0,False,A very hard earned introduction to data analytics !,"<p>Very well taken cared of both during the boot camp and to some extend after the bootcamp for job hunt. The rythm was intense and some coding knowmedge is a big plus ! Be prepare to spend hours on end to get the result desired. More over it is a very good dynamic during the course, even if we all learn at different paces, we have to &quot;trust the process !&quot;</p>",2/6/2023,Data Analytics Bootcamp,4.3,[],5.0,4.0,4.0,ironhack
297578,2023.0,False,Waste of money and time. Disappointing.,"<p>The full content of the bootcamp consists of you reading and doing quizzes/labs alone. Then meeting with the class and facilitator and reviewing the tasks. There&rsquo;s no teacher or classroom by itself. You are supposed to learn everything with the content they give you, but the content sometimes is not complete or antiquated (so you will have to use google a lot). You are able to retake exams, the final exams were &ldquo;open book&rdquo; (so you can use all the modules to check for the correct answers) and sometimes the exams asked questions not mentioned in the theory. I feel that my grade has no value since everyone graduated (copying). If they were real exams, I think more than 1/2 of my cohort would have failed. We wasted a lot of time doing icebreakers, group challenges and nonsense presentations.(Icebreaker=talking about your favorite animal/color/movie&hellip;) Some of the group presentations, were incomprehensible since some of my classmates didn&rsquo;t speak english good enough. Working with them was really frustrating. I was told you had to have a minimum level of english and intellectual capacity to be able to join, but after experiencing the bootcamp, I can say they get in anyone with the money. I thought Ironhack was the best place to change your career, but now I realized is only one more bootcamp trying to get your money. I don&rsquo;t recommend you to take the Ironhack Cybersecurity Bootcamp. Pay for an academy to learn the foundations and then take the CompTIA Sec+ certification. (The bootcamp only covers 60% of the content of this certificate) It was a complete waste of money and time. I was scammed. I hope Ironhack realizes what is doing wrong and improves their bootcamps for the future students.</p>",2/4/2023,Cyber Security Bootcamp,1.7,[],1.0,2.0,2.0,ironhack
297561,2023.0,False,Good experience,"<p>It was a very good programm, i met good friends and also improved my English through the 3 months. It is a super good way to start. I wished the bootcamp covered more of the Comptia Security+, so that i don&rsquo;t need to learn separately for it afterwards.</p>",2/3/2023,Cyber Security Bootcamp,4.0,[],4.0,4.0,4.0,ironhack
297202,2023.0,False,AWESOME IRONHACK EXPERIENCE,"<p>Never thought before that an online bootcamp can be as amazing and special as the UX UI Design bootcamp from Ironhack has been for me. These last 9 weeks had been an incredible experience full of learnings but also of amazing people that has shared all they knowledge. I really recommend this experience if someone is looking to deep into the UX &amp; UI Design, for sure you are going to learn a lot here!</p>",1/27/2023,UX/UI Design Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
297188,2023.0,False,Incredible experience.,"<p>For me, it has been an incredible adventure and experience. It started more as an obstacle because I had to learn programming and all of the tool from zero. But thanks to the incredible Ironhack staff, teachers and classmates, I managed to obtain different tools for my professional career such as python, sql, tableau, etc.</p>",1/27/2023,Data Analytics Part-Time,5.0,[],5.0,5.0,5.0,ironhack
297136,2023.0,False,So great experience,"<p>I had my doubts before starting the bootcamp, but it was one of the best decisions I have ever made in my life. I met a lot of interesting people, the journey was hard and intense, but I learned a lot. Thanks to all the Ironhack tea, especially the teachers.</p>",1/26/2023,UX/UI Design Bootcamp,4.7,[],5.0,5.0,4.0,ironhack
297018,2023.0,False,"Great experience, best decision of 2022","<p>- The curriculum was extremely interesting, diverse and informative. It could have been a bit more focused at the end of the bootcamp but overall amazing. - Open and friendly environment to ask questions, make mistakes and grow. - A lot of extra resources offered during the course too.</p>",1/24/2023,Data Analytics Part-Time,4.0,[],4.0,4.0,4.0,ironhack
297010,2023.0,True,Roller Coaster of Feelings,"<p>The advantages I take away from the bootcamp: I have learned a lot, I think the teachers and the counseling were great and I am happy to be supported even further in the Career program. I also learned something new about myself. What I didn&#39;t like was that we students had different levels of knowledge regarding the learning content. As a complete newcomer, I was often not able to follow the lessons, very often they went too fast for me and so I have to repeat everything again privately. In addition, my classmates were all reserved and much too quiet and not much help was given to each other. I had imagined that differently</p>",1/24/2023,Web Development Part-Time,3.7,[],4.0,4.0,3.0,ironhack
296291,2021.0,False,Amazing learning experience,"<p>What a learning experience, I never thought I would be able to learn so much in so little time. The team was great and we were able to accomplish a lot by having many projects during the bootcamp. I am not a developer, but I still use the knowledge gained on my day-to-say even as a PM.</p>",1/1/2023,Web Development Bootcamp,4.0,[],5.0,4.0,3.0,ironhack
296287,2021.0,False,The amazing life changing experience,"<p>From the first point of contact I felt that this was what I had to do: enter 100% into a new experience that was going to change my life. Spectacular teachers, with experience in the area and an incredible attention to the student; the most up-to-date curriculum; practical cases and an atmosphere of togetherness, an atmosphere of sharing like I had never seen before! One of the best things, at the end, you get an incredible personalized career service that prepares you to the real world. I would do it all over again, just the same.</p>",12/31/2022,UX/UI Design Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
296286,2021.0,False,Muito bom!,<p>Atuei de forma intensa durante todo o bootcamp. Muitos desafios muitas horas de aulas bons professores e boa did&aacute;tica. Material disponilizado de otima qualidade e atual. Tumas enxutas e com bastante dinamica em grupo e atividades coletivas. Otimo suporte para iniciar no mercado.</p>,12/31/2022,Web Development Part-Time,5.0,[],5.0,5.0,5.0,ironhack
296258,2022.0,False,Improvement On my professional career.,<p>It was an important step for my professional career changing because on the bootcamp a could get faster and better information to improve my skills also I had all assistance by the instructors when I was in doubt. I strongly recommend the IronHack for everyone who wants start IT studies.</p>,12/29/2022,Web Development Part-Time,3.3,[],4.0,4.0,2.0,ironhack
296252,2021.0,False,Excellent web development course,"<p>Complete didactic material, the content is very focused on the needs of the job market and this guaranteed me a high position in the job market, many tasks are carried out to guarantee a good performance and it even enriched my portfolio. People are polite and always willing to help, support tools and support for the student ensure clear communication.</p>",12/29/2022,Web Development Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
296251,2022.0,False,Studying Data Analytics at Ironhack was lifechanging,"<p>Ironhack helped me a lot during my career transition, the material, methodology and teachers were amazing. I was a person who knew absolutely nothing about data analysis and finished the Bootcamp knowing python, sql and Tableau. 2 months after my graduation I got a job as a Data Analyst and couldnt be happier :)</p>",12/29/2022,Data Analytics Part-Time,5.0,[],5.0,5.0,5.0,ironhack
296250,2021.0,False,Great place to learn,<p>I recently graduated from Ironhack&#39;s bootcamp program and I couldn&#39;t be happier with my experience. The curriculum was challenging but the instructors were extremely knowledgeable and supportive. They provided a strong foundation in web development and helped me learn the skills I needed to land a job as a developer. The campus was modern and the community was welcoming and collaborative. I would highly recommend Ironhack to anyone looking to jumpstart their career in tech.</p>,12/29/2022,Web Development Part-Time,4.0,[],4.0,4.0,4.0,ironhack
296249,2021.0,False,Amazing,"<p>I had the opportunity to participate in a Web Development course at Ironhack and I can say it was one of the best experiences I&#39;ve had. The teachers were exceptional, with clear and efficient teaching methods that allowed me to learn a lot in a short period of time. In addition, they were very available to clarify doubts and help solve problems. The course was also very fun because I made many friends and was able to exchange experiences with other students who were also interested in web development. The atmosphere was very positive and this really contributed to my learning. Today, I feel that the knowledge acquired in this course has been of great value in my work. I can create websites and applications more quickly and with higher quality, which has been highly valued by my clients. In addition, I feel that I have a solid foundation to continue learning and improving in the web development field.</p>",12/29/2022,Web Development Part-Time,5.0,[],5.0,5.0,5.0,ironhack
296206,2022.0,False,Full Stack Web Developer is Ironhack!,"<p>Ironhack has one of the best web development content I&#39;ve ever seen, the part-time program is challenging but exceeded my expectations, the teachers&#39; didactics are excellent and also exceeded my expectations, I&#39;m very grateful for the opportunity, and I&#39;m proud to say that I&#39;m Ironhacker!!!</p>",12/27/2022,Web Development Part-Time,5.0,[],5.0,5.0,5.0,ironhack
296105,2022.0,False,"The most amazing and mesmerising experience, completely changed my life","<p>For me the biggest thing about Ironhack is one of their mottos, &quot;Love people and their stories&quot;. On my class and even after I started working there I saw so many people from all walks of life, everyone came from a different background but every single one had the same goal, changing careers. It&#39;s amazing how in just a year I went from 0 experience in programming to being a Fullstack Engineer and even teaching Web Development, at first I was very sceptical but looking back I was just being silly, they don&#39;t lie when they say &quot;Trust the process&quot; because it really works. Being an intensive 9 week course it really prepares you for what&#39;s out there as a software engineer / ux/ui designer or data analyst. I cant emphasise how much I recommend Ironhack, it&#39;s one big family that I&#39;m so proud to be included &lt;3</p>",12/22/2022,Web Development Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
296087,2021.0,False,UX UI Design bootcamp,"<p>Ironhack changed my life. I was looking for a change in my career and choosing Ironhack was the right choice. In a very short period, I learned a lot. The curriculum is excellent ,and the teachers are great. The in-person experience for me was the best choice. Sharing this with my colleagues helped me to grow and learn even more. Teamwork prepares you for the future at work. The bootcamp gives you the basics to get started. The only things I would adjust in my experience are the part of the portfolio preparation and the part of the accompaniment of the job search. But I know that they have already improved this a lot. They value feedback very much and are continuously improving.</p>",12/22/2022,UX/UI Design Bootcamp,4.3,[],5.0,5.0,3.0,ironhack
296064,2022.0,False,"Amazing, life changing and Intense","<p>It was the choice of my life, the starting point for a professional change to a career in the technological area. it was very intense, exhausting and complete. I hope that anyone who has doubts should take the risk because it is the best school with experienced teachers, excellent environment, excellent location.</p>",12/21/2022,Web Development Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
296014,2022.0,False,Best choice ever,"<p>Doing the Data Analytics Bootcamp at Ironhack was the best choice I could&#39;ve done for beggining my career as data analyst. The content of the course is very dense and complete, but the teachers know how to make you learn in a simple way. The support they give you during the couse and aftewards is amazing, you really feel they care about you and that they gonna make everything in their hands so you can learn this new abilities and get a job when the course is done. I must mention as well that the content is very up to date and they give you many tips that would take months to get by studing by yourself. Another great point is the community they have, I&#39;ve met a lot of people in the area, from colleagues to alumni and even great professionals with many year of exeperience that came to tell their professional history and answer any questions we had. In addition to meet data analyst people we have the opportynity to meet people from other areas, once Ironhack have 3 other courses, and make our contacts network even bigger and diversified.</p>",12/20/2022,Data Analytics Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
295964,2022.0,True,Ironhack is life changing,"<p>Ironhack made me live something I couldn&#39;t live with any other school. They are listening so well to their students&#39; needs, fears, and are always encouraging. They managed to create courses where you work hard but also have times to relieve your brain, and feel great. Thanks to Ironhack I also met awesome people that might stay friends for life. This whole experience, apart from the professionnal career change, has been absolutely life changing. In many aspects I learnt a lot, and I wish to anyone to live this!</p>",12/19/2022,UX/UI Design Bootcamp,4.7,[],5.0,5.0,4.0,ironhack
295952,2022.0,False,"Excellen,t intensive course to prepare you for a career change","<p>I would struggle to think of cons of the course that I completed with Ironhack. It was incredibly educational, supportive and fun! I feel prepared to apply for roles and confident in my ability to perform in those roles. The group size is small so you feel a part of a team, attendance is monitored so you have accountability to be in the lessons. Over all, the structure of the program is setting you up for success in the field.</p>",12/19/2022,UX/UI Design Bootcamp,4.7,[],5.0,5.0,4.0,ironhack
295907,2022.0,False,Ironhack Portugal | Course Review,"<p>I had an amazing experience at Ironhack, much more than expected! The staff is always there to help and the sense of community they provide is awesome and gave me a lot of new friends! It&#39;s also a very demanding period, so be prepared... but in the end, you will be proud of yourself for completing and learning so much in a such short period.</p>",12/16/2022,UX/UI Design Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
295862,2022.0,False,Memorable experience,"<p>Both teachers were great; always explained things well, promoted a good classroom environment where we felt comfortable to make mistakes and ask any type of questions, which collaterally also made us receive and give feedback openly between each other. Even individual projects felt like collaborative projects because everyone helped each other out! I will say the Lead Teacher, especially by the end of the course, seemed quite tiered and not as eager to help us out as in the beginning. But the Teacher Assistant was there giving great back-up, which was ok. The campus environment is great as well, with all the different courses mixed together and with cool themed happy-hours every Friday 😎. The Bootcamp is very intense, as a Bootcamp should be, and it will test your limits for sure. Both mentally and physically (🥵). But it&rsquo;s by testing the limits that you learn what you are truly capable of doing and it unites you to your classmates in a way that wouldn&rsquo;t be possible otherwise. By the end you&rsquo;ll be surprised by all you and your classmates have accomplished in just 2 months, it&rsquo;s crazy! For me the highlight was by far the people that did the bootcamp with me. They really become family, and that&rsquo;s worth more than 6000&euro; if you ask me 😜. But besides great friends, Ironhack also offers good career advice and support. The curriculum is pretty good (even though I wish more UI content was taught, as well as more about figma), but for me what stands out the most from the school is the career services they offer. A good curriculum you can find on online courses nowadays, but not career preparation and support. They give great insights on recruitment expectations and help you prepare for your career kick-off. I was lucky to find a job soon after the bootcamp but on average it takes 1-2 months after the course to get a job (depending on how soon you finish your portfolio). This course will not teach you everything you need to know, but it will teach you more than enough to start a Junior career in the field and give you the tools to continue learning on your own after it.</p>",12/15/2022,UX/UI Design Bootcamp,4.7,[],5.0,5.0,4.0,ironhack
295850,2021.0,False,Changed my career,"<p>The teacher was something extraordinary. Excellent pedagogy and patience. Ironhack&#39;s material is also something that makes a difference. I still reach out to it when I have doubts. For me, it was valid taking the full stack web dev course. It changed my career path and now I even work abroad.</p>",12/15/2022,Web Development Part-Time,4.0,[],5.0,5.0,2.0,ironhack
295837,2022.0,False,Best Bootcamp,"<p>If you are intending to exchange careers or beginning one, Ironhack is the school of your choice. After finishing my Bootcamp in three months, I conquered my new job in tech. I didn&#39;t know I could learn so fast! Due to most of the classes being practical, I have gathered a lot of knowledge in my Bootcamp.</p>",12/15/2022,Web Development Part-Time,4.7,[],5.0,5.0,4.0,ironhack
295824,2022.0,False,no career support,"<p>One of the reasons I went to a bootcamp was their connection with companies. However, since months almost no job offer was shared with us. I could learn by myself and hire a private teacher to support me instead of giving that much money. I felt left alone.</p>",12/15/2022,Web Development Bootcamp,3.0,[],3.0,5.0,1.0,ironhack
295775,2022.0,False,LIFE CHANGING!,"<p>It was one of the best experiences of my life, especially taking the full-time one. Besides the whole experience of making friends for life, having the best time around the campus and outside of it, and meeting people from all over the world - it was a truly immersive experience. The curriculum, teachers, and how we learn are - sometimes overwhelming (as they should be), but also (and most important), super dynamic, motivating, and engaging! I would reach the end of the week and projects were mostly more exciting than tired! And in the end, I felt really prepared to enter the industry. Super recommend! One little thing: they sell a lot of their career service for the applicants and for me, it was oversold. For someone who already has an experience in the market (doesn&#39;t matter that much in which industry) and is just transitioning, it felt a little basic - maybe it was the expectation of how big they sell this service. But for newcomers who never had any experience with the hiring processes and stuff, I think it is useful.</p>",12/14/2022,UX/UI Design Bootcamp,3.7,[],5.0,5.0,1.0,ironhack
295767,2022.0,False,Best experience ever,"<p>I had one of the best experiences in my life, to be honest. Since the first contact I had with Gabriela to the career week with Carolina, everything went amazingly well and their support was outstanding. The course taught skills that at that specific moment in time I wasn&#39;t sure I would use, but once I started working, I really understood what &quot;trust the process&quot; mean. Everything, from the small aspects to the most important concepts were used and I felt much more prepared than most of the candidates. After starting on my company and going through a new bootcamp on the Software platform I&#39;m working now, they confessed to me that I was the first Ironhack student to join the unit and until that moment I was the one with the best results in both the bootcamp, final project and first weeks of work. I came out from Ironhack completely prepared to face the challenges and confident in myself that I could overcome those challenges.</p>",12/14/2022,Web Development Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
295724,2020.0,False,One of the best decisions I've ever made,"<p>I was in the data analytics part time bootcamp on 2020. It was one of the best decisions I&#39;ve ever made. Since the beginning, the material was really clear and complete. Teachers support me since day 1 and guide me through out the course. Knowing my classmates and doing projects with them was an excellent way to code better and to have different perspectives. It was challenging but at the same time, very satisfying to see my advance and my understanding of the languages and the coding skills. For sure I would recommend it.</p>",12/12/2022,Data Analytics Part-Time,3.7,[],4.0,3.0,4.0,ironhack
295717,2022.0,False,"Intense, solid, well-structured and professional bootcamp","<p>I should start stating about how awesome everyone that I&#39;ve met in S&atilde;o Paulo&#39;s Full-time Web Dev bootcamp was. Even though the experience is very well-structured and very challenging, the most important part about it is how you can push beyond your limits by having great people by your side - students, teachers and other employees of the company. When there was something wrong, or that could be improved, no efforts were measured by Ironhack&#39;s team to propose solutions with only one goal in mind: the student&#39;s sucess. I shall be thankful for the rest of my life for the connections I&#39;ve made and for the decision of trusting in Ironhack&#39;s bootcamp to change my career.</p>",12/12/2022,Web Development Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
295679,2022.0,False,Ironhack UX la mejor experiencia!!,"<p>Decid&iacute; entrar a Ironhack M&eacute;xico porque quer&iacute;a un cambio de carrera, quer&iacute;a entrar al mundo TI y revis&eacute; muchas opciones tanto cursos como bootcamp, hasta estudiar nuevamente una licenciatura y Ironhack fue la mejor opci&oacute;n, ten&iacute;a el contenido y el apoyo que buscaba. Los profesores y asistentes son muy buenos y la din&aacute;mica de las clases es amena, lo que m&aacute;s me gust&oacute; es que es muy pr&aacute;ctico, todos los d&iacute;as haces ejercicios, y poder tener acercamientos con empresas reales para tener experiencia profesional, al final del bootcamp acabas con un portafolio. Tambi&eacute;n tener los textos y las clases grabadas ayuda mucho para repasar los temas. Creo que el mayor reto es ser disciplinado y evitar distraerse, ya que es en l&iacute;nea. Ironhack te brinda todas las herramientas para conseguir tu primer trabajo en TI :)</p>",12/12/2022,UX/UI Design Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
295646,2022.0,False,Amazing bootcamp that allows you to switch careers,"<p>After having worked in digital marketing for over 10+ years I wanted to expand my knowledge. Inspired by a friend, who switched careers, I also chose a bootcamp to acquire new skills. The 3 month remote UX UI bootcamp of Ironhack was work-intense, but helped me to get the skills, that are required on the job market. We had a very good lead teacher from Miami and theory lectures in the morning as well as practical sessions on Figma in the afternoons. The group work was challenging at some times, but it prepares you for your future workplace. It was really helpful to have a career week too, where they share all the insights on how to impress with your Linkedin profile &amp; portfolio website. If you follow the steps of the bootcamp I think it&#39;s indeed possible to land a new job in this industry. My goal was to switch jobs after 6months if the graduation from the bootcamp- and this is exactly what happened. I got a better paid hybrid job in an international corporate within an ambitious team. If you are still doubting if it&#39;s the right fit for you, contact alumnis of Ironhack :)</p>",12/9/2022,UX/UI Design Bootcamp,4.7,[],5.0,5.0,4.0,ironhack
295643,2022.0,True,Above my expectations,"<p>Im reaching the end of my bootcamp in about a week, and I have to say it exceeded my expectations. Loved the teachers, but what I enjoyed the most was the 5-6 projects you have to work on during the entire 5 month period (part time). Lot&#39;s of hands on time with both theory and practice. You also work on solo projects, as well as team projects.</p>",12/9/2022,UX/UI Design Part-Time,5.0,[],5.0,5.0,5.0,ironhack
295634,2022.0,False,Bright future ahead,"<p>I had been working with design for 10 years, and I found myself stuck with no direction in my profession. Sad and not knowing if I could change, I fell into a depressive cycle of having to work with something that drained my energy to the deep lonely sadness. In a risky move, looking for the best possible school for a specialty in my area, I chosed IronHack. This was the best choice I made in my life, because for the first time, I see a bright future ahead of me, and the flame of seeking knowledge and doing my best, ignited my desire to be the best. I am very grateful for the technical team and the school for the inspiring quality. I&#39;m grateful for this journey that revived this flame on me.</p>",12/9/2022,,5.0,[],5.0,5.0,5.0,ironhack
295608,2021.0,False,Good investment if you want to acquire basic knowledge to start a new career path.,"<p>I think at Ironhack everyone was always working towards some goal, it&#39;s all about being in movement and having continuous growth. The teacher I had was great, and I&#39;m sure they are always having the best people on their team to help you achieve your goals! Also, they are always promoting events about tech and creating opportunities for you to grow your network. Besides the whole training you have for the specific area you want to switch to, at the end they prepare you for the actual job hunt in the most effective way, and for me, this only could be a week workshop and would be totally worth my money by itself. I&#39;m super happy that I chosed Ironhack and my experience there was intense and great!</p>",12/9/2022,UX/UI Design Bootcamp,4.3,[],4.0,5.0,4.0,ironhack
295595,2021.0,False,Great Academy to find a tech job,<p>My friends recommended Iron Hack and is all I was hoping for. The best part is how accurate the subjects are in relation to the needs of the industry. Also the support after the course to find a job in the industry is really helpfull and the netwok Iron Hack has is really big including other countries as well.</p>,12/8/2022,,4.3,[],4.0,4.0,5.0,ironhack
